hash,initial_buffer_time,Rebuffer_count,average_duration_of_stalling_event,mean(seqPSNR),averageWeightedBitrate,st_events_max,bitrate_pos_changes_count,bitrate_neg_changes_count,bitrate_max_pos_change,bitrate_max_neg_change,bitrate_mean_pos_change,bitrate_mean_neg_change,freq_of_st,Bitrate_switch_count,freq_of_sw,Rebuffer_percentage,Average_Bitrate_Swithcing_magnitude,Average_relative_Bitrate_Swithcing_magnitude,Ratio_on_highest_sequense_quality_layer,Ratio_on_minimum_sequense_quality_layer,Ratio_on_sequense_quality_layer_max_2,width_height,SI,TI,content,motion,Constant_bitrate,MOS
0,1.8,3,0.74444,27.5826,222,1.0667,0,0,0,0,0,0,0.21377723,0,0,0.182559081,0,0,0.817440919,0.817440919,0,76800,96,97,animation,high motion,1,31.3769901
1,0.53333,0,0,29.5138,527.6,0,3,0,302,0,250.6666667,0,0,3,0.284811028,0,250.6666667,250.6666667,0.2000006,0.4000012,0,158700,96,97,animation,high motion,0,51.00620516
2,0.7,0,0,31.7743,1186.8,0,3,0,1416,0,820,0,0,3,0.280373832,0,820,820,0.2,0.4,0.4,341320,96,97,animation,high motion,0,48.94800908
3,0.26667,0,0,31.0625,1014.8,0,2,0,1708,0,1230,0,0,2,0.194804562,0,1230,1230,0.1999994,0.3999988,0.1999994,276480,96,97,animation,high motion,0,58.3435
4,0.2,0,0,31.2189,1140,0,3,0,1082,0,820,0,0,3,0.294117647,0,820,820,0.2,0.4,0.4,283392,96,97,animation,high motion,0,62.81732226
5,0.16667,0,0,31.0221,900.8,0,2,1,1138,-1138,945,-1138,0,3,0.295081,0,1009.333333,250.6666667,0.1999994,0.3999988,0.1999994,276480,96,97,animation,high motion,0,43.93822476
6,0.2,0,0,32.0326,1242.4,0,3,0,1138,0,820,0,0,3,0.294117647,0,820,820,0.2,0.4,0.4,368640,96,97,animation,high motion,0,64.33880322
7,0.16667,0,0,32.5991,1574.8,0,3,0,1708,0,1184,0,0,3,0.295081,0,1184,1184,0.1999994,0.3999988,0.3999988,494592,96,97,animation,high motion,0,62.89097094
8,1.2,0,0,29.045,420.8,0,1,0,172,0,172,0,0,1,0.089285714,0,172,172,0.4,0,0,141810,96,97,animation,high motion,0,45.60956353
9,1.2,0,0,30.0774,669.6,0,2,0,344,0,311,0,0,2,0.178571429,0,311,311,0.4,0,0,196608,96,97,animation,high motion,0,52.1094463
