,Segment,Model_VMAF_4K,VMAF_4K,PSNR,SSIM,MS_SSIM
0,segment7,resources/vmaf_4k_v0.6.1.json,54.246256,33.548158,0.954321,0
1,segment8,resources/vmaf_4k_v0.6.1.json,10.310634,27.915897,0.840868,0
2,segment21,resources/vmaf_4k_v0.6.1.json,0.990016,21.5096,0.68917,0
3,segment52,resources/vmaf_4k_v0.6.1.json,73.517518,36.888494,0.9728,0
4,segment27,resources/vmaf_4k_v0.6.1.json,49.000692,28.848024,0.94459,0
5,segment6,resources/vmaf_4k_v0.6.1.json,45.5274,33.734814,0.957226,0
6,segment47,resources/vmaf_4k_v0.6.1.json,51.994041,26.558385,0.93877,0
7,segment22,resources/vmaf_4k_v0.6.1.json,0.544633,26.724839,0.862808,0
8,segment16,resources/vmaf_4k_v0.6.1.json,77.235828,38.570548,0.984299,0
9,segment19,resources/vmaf_4k_v0.6.1.json,5.228326,25.634724,0.847239,0
10,segment26,resources/vmaf_4k_v0.6.1.json,13.608455,29.628146,0.935042,0
11,segment43,resources/vmaf_4k_v0.6.1.json,62.400639,36.531695,0.976217,0
12,segment24,resources/vmaf_4k_v0.6.1.json,24.787248,32.341833,0.944957,0
13,segment17,resources/vmaf_4k_v0.6.1.json,76.637912,40.309593,0.985871,0
14,segment36,resources/vmaf_4k_v0.6.1.json,59.164212,32.245829,0.968342,0
15,segment39,resources/vmaf_4k_v0.6.1.json,68.310886,35.48233,0.976417,0
16,segment11,resources/vmaf_4k_v0.6.1.json,63.232145,36.498234,0.978734,0
17,segment50,resources/vmaf_4k_v0.6.1.json,54.189254,32.165146,0.932879,0
18,segment45,resources/vmaf_4k_v0.6.1.json,61.979898,35.349001,0.977538,0
19,segment13,resources/vmaf_4k_v0.6.1.json,68.615674,38.450538,0.98535,0
20,segment41,resources/vmaf_4k_v0.6.1.json,76.382069,37.833114,0.985486,0
21,segment51,resources/vmaf_4k_v0.6.1.json,56.524151,36.937179,0.942348,0
22,segment15,resources/vmaf_4k_v0.6.1.json,72.095871,33.525289,0.972764,0
23,segment31,resources/vmaf_4k_v0.6.1.json,41.610603,27.513992,0.89659,0
24,segment34,resources/vmaf_4k_v0.6.1.json,74.186225,36.916613,0.983039,0
25,segment46,resources/vmaf_4k_v0.6.1.json,55.138654,28.247084,0.948851,0
26,segment37,resources/vmaf_4k_v0.6.1.json,71.356227,32.615654,0.965984,0
27,segment32,resources/vmaf_4k_v0.6.1.json,56.435595,30.782031,0.956142,0
28,segment29,resources/vmaf_4k_v0.6.1.json,33.825617,29.284297,0.962784,0
29,segment54,resources/vmaf_4k_v0.6.1.json,39.064776,27.523521,0.911988,0
30,segment4,resources/vmaf_4k_v0.6.1.json,2.36363,24.855371,0.8,0
31,segment2,resources/vmaf_4k_v0.6.1.json,9.552106,30.277877,0.934711,0
32,segment38,resources/vmaf_4k_v0.6.1.json,77.526996,38.026336,0.979943,0
33,segment28,resources/vmaf_4k_v0.6.1.json,24.502405,27.521375,0.948822,0
34,segment53,resources/vmaf_4k_v0.6.1.json,62.625571,37.809148,0.973226,0
35,segment42,resources/vmaf_4k_v0.6.1.json,62.035755,35.485161,0.970227,0
36,segment5,resources/vmaf_4k_v0.6.1.json,63.846292,34.287636,0.971312,0
37,segment9,resources/vmaf_4k_v0.6.1.json,35.185875,29.752,0.907193,0
38,segment12,resources/vmaf_4k_v0.6.1.json,73.85547,39.687764,0.98725,0
39,segment49,resources/vmaf_4k_v0.6.1.json,67.244629,37.321546,0.967459,0
40,segment20,resources/vmaf_4k_v0.6.1.json,3.544882,24.204417,0.82378,0
41,segment23,resources/vmaf_4k_v0.6.1.json,11.764212,31.599576,0.94409,0
42,segment30,resources/vmaf_4k_v0.6.1.json,69.45184,30.970682,0.958874,0
43,segment44,resources/vmaf_4k_v0.6.1.json,68.697366,36.622667,0.973472,0
44,segment25,resources/vmaf_4k_v0.6.1.json,14.305177,32.534608,0.951731,0
45,segment1,resources/vmaf_4k_v0.6.1.json,2.385783,30.421974,0.96666,0
46,segment10,resources/vmaf_4k_v0.6.1.json,58.701894,32.097862,0.949474,0
47,segment18,resources/vmaf_4k_v0.6.1.json,70.602846,28.226917,0.946182,0
48,segment40,resources/vmaf_4k_v0.6.1.json,60.1048,33.551322,0.968663,0
49,segment33,resources/vmaf_4k_v0.6.1.json,76.812357,38.876039,0.98377,0
50,segment35,resources/vmaf_4k_v0.6.1.json,62.225353,34.062333,0.975174,0
51,segment3,resources/vmaf_4k_v0.6.1.json,0.0,22.903285,0.737314,0
52,segment48,resources/vmaf_4k_v0.6.1.json,50.900642,28.310475,0.920868,0
53,segment14,resources/vmaf_4k_v0.6.1.json,58.88937,33.579434,0.962861,0
