;Nframes;final_subj_score;ds;lt;vid_fps;PSNR_vec;PSNR_mean;PSNR_hyst;PSNR_kmeans;PSNR_perc;PSNRhvs_oss_vec;PSNRhvs_oss_mean;PSNRhvs_oss_hyst;PSNRhvs_oss_kmeans;PSNRhvs_oss_perc;SSIM_vec;SSIM_mean;SSIM_hyst;SSIM_kmeans;SSIM_perc;MSSIM_vec;MSSIM_mean;MSSIM_hyst;MSSIM_kmeans;MSSIM_perc;STRRED_vec;STRRED_mean;STRRED_hyst;STRRED_kmeans;STRRED_perc;GMSD_vec;GMSD_mean;GMSD_hyst;GMSD_kmeans;GMSD_perc;NIQE_vec;NIQE_mean;NIQE_hyst;NIQE_kmeans;NIQE_perc;VMAF_vec;VMAF_mean;VMAF_hyst;VMAF_kmeans;VMAF_perc;ns;tsl;continuous_subj_score;SSIM_SQI;MSSIM_SQI;PSNR_SQI;VSQM
0;1744.0;1.4033325668586043;0.0;0.0;24.0;"[25.48528565 25.88096253 25.66413608 ... 36.14819588 35.89964156
 35.54881437]";36.382725278810135;35.24363432294733;33.05924472496087;28.30710798474953;[22.7398 23.5369 23.2512 ... 31.4987 31.2253 30.8513];32.28635842889911;31.12766006290109;29.568019860922384;25.01425977011495;[0.93675688 0.94489262 0.94071871 ... 0.96820202 0.96612836 0.96430205];0.9724484807327644;0.9645387519003681;0.9597803645313143;0.9386654404913118;[0.89307428 0.90342665 0.89903924 ... 0.96918053 0.96784825 0.96645137];0.9692865142177911;0.9607824066871704;0.9139225625228891;0.9108150621927465;"[45.09494067 40.15881552 61.59556175 ... 84.97744148 95.73923589
 95.73923589]";43.05996167611093;32.09022909050584;35.05689256714549;110.22900345566117;[0.11670181 0.10547738 0.10889637 ... 0.05475015 0.05514464 0.05581069];0.04897473706362727;0.04037237053373061;0.04111384192396191;0.10327211919609525;[8.38452695 8.59472673 9.19693775 ... 9.39300064 9.26389527 9.09936797];8.834154341168958;8.505345644669985;8.455355336701343;10.274290878828422;"[31.25242681 40.27967039 35.12667338 ... 37.74691475 35.5290955
 35.66722745]";48.54546030589647;43.45964276326733;44.58873062195906;34.716218646437824;0.0;72.66666666666667;"[-0.4517259  -0.4517259  -0.4517259  ...  1.33410036  1.33410036
  1.33410036]";0.97245;0.96929;36.3827;1.0
1;1936.0;-0.03591239547560243;8.0;0.0;24.0;"[24.210572   24.19123399 24.14879918 ... 34.17122652 33.91371877
 33.43300888]";34.105256666156365;32.992939368560556;30.802422709169317;26.454071080847626;[20.4609 20.4897 20.5146 ... 29.2546 29.0081 28.5198];29.42970475917431;28.280660093577666;26.371045765069535;22.211641379310354;[0.87873741 0.87411053 0.87336124 ... 0.94866381 0.94630817 0.94224786];0.9468896859773113;0.9343751461160187;0.9121870960521266;0.872434052070311;[0.83491785 0.83073749 0.82938828 ... 0.95396598 0.95243665 0.94932843];0.9481573395392284;0.935750683248968;0.8723713299111041;0.8503380377404474;"[ 57.99271773  77.74370899  86.05321978 ... 159.19131081 177.24091873
 177.24091873]";107.35911518007376;81.60848062330065;88.50208006511363;269.5874387269278;[0.15842008 0.16046979 0.16074951 ... 0.07513831 0.07495169 0.07632309];0.07278535758764045;0.060780762342613856;0.062223268628181345;0.1488998616610826;"[10.37234027 10.01738016  9.94597155 ... 10.61943009 10.5752929
 10.42780201]";9.877977051877366;9.548328921587883;9.380656832827174;11.323076940478012;"[ 2.74464306  1.86367535  0.         ... 14.83708522 14.76426632
 13.18626921]";21.55921931955113;15.476927390515527;17.79521734762929;3.7323425570495847;1.0;38.625;"[-0.30099177 -0.30099177 -0.30099177 ...  0.28757963  0.28839088
  0.28868889]";0.89374;0.89486;29.7471;0.870264754452748
2;1744.0;-0.6978145281159522;0.0;72.66666666666667;24.0;"[23.48141994 23.46076208 23.32517189 ... 31.62644466 31.30929859
 30.8886532 ]";32.578999480840984;31.502151372743743;29.80962076737752;25.519952779796366;[19.283  19.3093 19.1927 ... 26.6673 26.3778 25.9686];27.700178096330244;26.589668771475242;25.15977518154348;20.913785057471262;[0.81493942 0.81747277 0.80914547 ... 0.91387479 0.90921449 0.90490754];0.921564845101546;0.9051002503351648;0.8440321546976379;0.8124440762683398;[0.78044209 0.78136785 0.77366594 ... 0.92793526 0.92459772 0.92107198];0.9283078682826886;0.9127677635096395;0.8719454000896595;0.8007332802220333;"[185.79513508 178.49489648 175.54149321 ... 300.54442374 410.57024001
 410.57024001]";193.7232797387481;150.0641817455587;154.2175684548273;425.19297580993776;[0.18605238 0.18527216 0.18748061 ... 0.09375574 0.09480902 0.09570493];0.08862200731732159;0.07483189432356205;0.07287235264146662;0.1753933269271692;"[11.14022242 10.16050284 10.2443967  ... 11.60524114 11.4696838
 11.33834446]";10.767821602293452;10.441379080177521;10.270504694082444;12.066393987287041;[0. 0. 0. ... 0. 0. 0.];4.6692237666611565;1.3325179923933477;4.267049902606085;0.0;0.0;72.66666666666667;"[-0.27540616 -0.27540616 -0.27540616 ... -0.45050322 -0.44981549
 -0.44920856]";0.92156;0.92831;32.579;1.0
3;1840.0;-0.43330280441542857;4.0;72.66666666666667;24.0;"[23.52769698 23.51618158 23.38770595 ... 33.0380069  32.90433094
 32.56086259]";33.1639505140364;32.05057022886491;29.95498997874064;25.680262069492542;[19.351  19.3882 19.2798 ... 28.0298 27.9107 27.5541];28.314331020642307;27.161286949967536;25.43052956302869;21.10484252873564;[0.82122869 0.8236168  0.81657388 ... 0.93286012 0.93098405 0.92790969];0.9317968295763095;0.9164855581012852;0.8507741027400868;0.8208761259766159;[0.78547379 0.78639213 0.77956484 ... 0.94221795 0.94105776 0.93874851];0.9361642589611346;0.9215180594673957;0.8449538745548991;0.807394742425325;"[151.64782884 152.09481452 156.84051704 ... 234.41708772 253.88617959
 253.88617959]";144.83140140665498;111.15168863281696;118.86779242333792;338.2955709046006;[0.1848841  0.1841634  0.18622715 ... 0.0857927  0.08576335 0.0864244 ];0.08419295008757627;0.0704712342651124;0.07099163022459691;0.17321953400691795;"[10.96045768 10.10366851 10.15649163 ... 11.6235545  11.18852615
 11.22093865]";10.687127412751881;10.361184924682323;10.210969550469027;11.968196838437589;[0. 0. 0. ... 0. 0. 0.];7.058868783958906;2.490002458537758;6.205163327608206;0.0;1.0;33.5;"[-0.35794222 -0.35794222 -0.35794222 ... -0.26660236 -0.26112375
 -0.25651386]";0.90711;0.91124;30.9639;0.9434872034994148
4;1744.0;-0.6864845613705916;0.0;10.875;24.0;"[24.210572   24.19123399 24.14879918 ... 34.99731366 34.89600484
 34.86475581]";33.45110490107164;32.30911415966766;28.47163662657034;24.627699283007832;[20.4609 20.4897 20.5146 ... 30.107  30.0122 29.972 ];28.74703663990824;27.565955132425465;24.031049819671683;20.132491954022992;[0.87873741 0.87411053 0.87336124 ... 0.95741394 0.95667753 0.9558031 ];0.9245807277132866;0.9076238990894205;0.797866708241828;0.6976495066926716;[0.83491785 0.83073749 0.82938828 ... 0.96062456 0.96028455 0.95974648];0.9305922206759469;0.9147292774146817;0.8169008746159604;0.7367191186931785;"[ 57.99271773  77.74370899  86.05321978 ... 116.20263921 117.07068049
 117.07068049]";174.70907449299;127.79959677422475;135.36894584249347;1334.8400391395446;[0.15842008 0.16046979 0.16074951 ... 0.06911833 0.06872263 0.06791383];0.08076306345392173;0.0678943137345456;0.07073124621058377;0.18523727700712045;"[10.37234027 10.01738016  9.94597155 ... 10.41624296 10.32936853
 10.33183638]";10.08180026220022;9.74020588762943;9.57292150767223;11.446308682138126;"[ 2.74464306  1.86367535  0.         ... 19.55433279 19.35692251
 21.06709077]";20.086842177968883;14.613510402728625;17.679725030300677;0.0;0.0;27.75;"[-0.27783051 -0.27783051 -0.27783051 ...  0.24713028  0.24747082
  0.24785641]";0.92458;0.93059;33.4511;1.0
5;2064.0;-0.5045806952579113;13.333333333333334;0.0;24.0;"[24.21481229 24.19130518 24.14982316 ... 34.56754988 34.39636148
 33.93013162]";34.08877360861642;32.961198850510925;30.774214158521108;26.369558691797653;[20.4672 20.488  20.5159 ... 29.6597 29.4796 29.0246];29.4099513188073;28.244981727286117;26.330190049205736;22.09941034482759;[0.87864934 0.87410509 0.87332166 ... 0.95252084 0.95077259 0.94716637];0.9465552178694452;0.9334053499306925;0.9106701344376963;0.8672270641221599;[0.83489574 0.83090425 0.82951774 ... 0.95693515 0.95594244 0.95328754];0.9478904169566802;0.9349540307945388;0.8682105946032115;0.8462435435760906;"[ 60.10378213  84.70544836  79.11820263 ... 138.34715233 144.92972451
 144.92972451]";108.28634116720998;82.03486906141673;88.23170056301822;278.8978916842086;[0.15851253 0.16008001 0.16053853 ... 0.07264535 0.07233477 0.07273736];0.07293202319541346;0.06089946156179148;0.06237065267884668;0.15135007029655756;"[10.49776137  9.93391556  9.78708452 ... 10.49362582 10.37907867
 10.22131736]";9.873625066283546;9.544844751756921;9.390545410155418;11.344955145239883;"[ 2.84150706  2.74573825  0.         ... 17.0187102  17.85646766
 16.12402202]";21.47665538209944;15.283868421850645;17.677188654785994;3.296831875415263;2.0;43.041666666666664;"[-0.331392   -0.331392   -0.331392   ...  0.03922123  0.03979851
  0.0402705 ]";0.85235;0.85351;27.3187;0.8083563474773304
6;1944.0;-0.23934741683464864;8.333333333333334;13.875;24.0;"[24.21481229 24.19130518 24.14982316 ... 34.16603397 33.90488566
 33.4279746 ]";33.809709696638194;32.69016472856212;30.739329800188724;26.372376862541476;[20.4672 20.488  20.5159 ... 29.242  28.982  28.5024];29.09033841743115;27.933201876666235;26.39723559460137;22.09885632183908;[0.87864934 0.87410509 0.87332166 ... 0.94880373 0.94632414 0.94265095];0.9421535008921839;0.9279012031625095;0.8874973746101742;0.8621936073747581;[0.83489574 0.83090425 0.82951774 ... 0.95410964 0.95253671 0.94972685];0.9444528079429387;0.9306845897185564;0.8792794712018186;0.8430710326991455;"[ 60.10378213  84.70544836  79.11820263 ... 167.5972214  161.68481058
 161.68481058]";121.75601096227535;92.26438013324554;97.24788899179086;297.828282577695;[0.15851253 0.16008001 0.16053853 ... 0.07433073 0.07464191 0.07592999];0.07583996115794514;0.06339847522574203;0.06521102407302255;0.15240080023530775;"[10.49776137  9.93391556  9.78708452 ... 10.5422692  10.54446745
 10.39801571]";10.047898634347696;9.709127076195173;9.501188782746551;11.588727990523044;"[ 2.84150706  2.74573825  0.         ... 16.85823437 13.98534933
 13.39114628]";18.315018106280363;12.743380193782873;15.500567651525932;0.0;1.0;33.625;"[-0.37475946 -0.37475946 -0.37475946 ...  0.23592423  0.2365375
  0.23719464]";0.87614;0.87851;29.3925;0.8652405602126404
7;1744.0;-0.6933785806542987;0.0;22.208333333333332;24.0;"[24.21481229 24.19130518 24.14982316 ... 34.75721267 34.59966658
 34.38336513]";33.200791895461705;32.09601647046483;29.575561660906725;25.253279437555936;[20.4672 20.488  20.5159 ... 29.8534 29.7031 29.4814];28.448853784403664;27.307535152832173;24.873599647196933;20.772360919540223;[0.87864934 0.87410509 0.87332166 ... 0.95477285 0.95352996 0.95177289];0.9246012527636194;0.9078342689168487;0.83507555709026;0.7589761228238224;[0.83489574 0.83090425 0.82951774 ... 0.95852347 0.95788202 0.95656084];0.9307734227216234;0.9151771292036124;0.8476720055243183;0.7802680984603841;"[ 60.10378213  84.70544836  79.11820263 ... 125.47849612 131.9162965
 131.9162965 ]";176.90772448610002;133.8069235996495;124.75691012413195;686.2464273275597;[0.15851253 0.16008001 0.16053853 ... 0.07101344 0.07071554 0.07076266];0.08265612444038449;0.06990413161474611;0.07110736921776348;0.17750355974223767;"[10.49776137  9.93391556  9.78708452 ... 10.71072519 10.50096109
 10.38548376]";10.207638571111252;9.885005247368454;9.647540910708702;11.646283397095551;"[ 2.84150706  2.74573825  0.         ... 17.46363224 16.43418718
 17.40047026]";17.38292868085213;12.520211201327271;16.554540827862276;0.0;0.0;25.291666666666668;"[-0.31039762 -0.31039762 -0.31039762 ...  0.17155996  0.17476189
  0.17829927]";0.9246;0.93077;33.2008;1.0
8;1848.0;1.2995406879417086;0.0;0.0;25.0;"[40.76709914 40.74367188 40.90511893 ... 35.92029002 35.68115915
 35.12691274]";37.95237694381275;37.02224988970076;33.66572135866804;30.942524737712823;[38.7083 38.6439 38.9621 ... 31.4864 31.2122 30.6265];34.79566893939398;33.82968194755306;30.93395472555724;28.365922826086955;[0.99005904 0.98998948 0.99048825 ... 0.96477282 0.9629718  0.95935016];0.9805909935928835;0.9747383874359342;0.9574594682683357;0.9515274644967459;[0.98641011 0.98644526 0.9868673  ... 0.96392252 0.96231594 0.95894548];0.9750536129131695;0.9682432509928215;0.9363443765034962;0.926247023514077;"[24.05740339 25.46986583 20.83450354 ... 53.61308401 52.68960299
 52.68960299]";22.008956440106004;15.921659230503883;16.507232718762033;61.33960510533683;[0.01659578 0.01669478 0.01554018 ... 0.07342563 0.07703739 0.08384   ];0.03901366142884529;0.0333738949188434;0.033781509302582294;0.08715965499464835;"[ 9.92924483 10.03435795 10.00470955 ...  7.80805168  7.7873161
  7.76658949]";8.752992839133306;8.444769683542845;8.290563122054822;10.245333158171476;"[72.22152235 69.40171769 73.90102837 ... 42.59411156 42.30214
 44.40003603]";56.821600915422344;52.19611534284774;48.62045430896631;35.10357480308049;0.0;73.92;"[-0.47200859 -0.47200859 -0.47200859 ...  1.27221322  1.27221322
  1.27221322]";0.98059;0.97505;37.9524;1.0
9;2048.0;0.35265340799445216;8.0;0.0;25.0;"[40.3125759  40.54607748 40.23631351 ... 35.27318825 35.09921723
 34.79503049]";36.461609455880335;35.5154944270438;32.2397632546588;29.388284186316987;[37.8868 38.3311 37.7137 ... 30.4176 30.2425 29.9573];32.54633641774899;31.500525269649977;28.544103556195402;25.626847826086962;[0.988668   0.98936753 0.98858633 ... 0.95757722 0.9562241  0.95440695];0.9654408353505961;0.9568260504463038;0.9070834674704309;0.8931262395852747;[0.98526857 0.98591083 0.98524802 ... 0.95733908 0.9563811  0.95438314];0.9621627076092691;0.9530119017337366;0.8937193862187879;0.8743130420190006;"[26.11935746 24.77371379 40.30602851 ... 30.90363262 35.52857894
 35.52857894]";49.6935677897155;37.03995562834724;33.351356256295546;159.0995096128426;[0.0223899  0.02105572 0.02290545 ... 0.10337509 0.10540419 0.10845748];0.0601008432256046;0.051764921221871235;0.05143507262514365;0.1379632890647151;"[10.55858783 10.40776068 10.56947885 ...  9.07077436  8.93192815
  8.79683085]";9.898846410415437;9.595200284203408;9.414092751462043;11.145922696377768;"[58.41239063 63.14450293 57.21552901 ... 29.38542386 31.19442891
 28.87874083]";31.476429573277407;25.545787396593834;26.136949127839138;0.25114064262872665;1.0;39.24;"[-0.30353215 -0.30353215 -0.30353215 ...  0.70842255  0.70842255
  0.70842255]";0.91055;0.90739;31.9089;0.8723175734815538
